"Parent Company","Source Country","Source City","Capex SACU","Capex Non SACU Africa","Capex World","Projects SACU","Projects Non SACU Africa","Projects World","Average Capex","Average Jobs"
"Airsorted","United Kingdom","London","","20.5","131.7","","1","8","16.4625","32.375"
"HIT Cowork","Argentina","Buenos Aires","","3.8","3.8","","2","2","1.9","8"
"International Workplace Group (Regus)","Switzerland","Zug","34.2","41.8","1836.97206","18","22","788","2.3428218205","9.7484197219"
"Office Madrid","Spain","Madrid","","3.49388","7.29388","","1","3","2.4312933333","8"
"Santander Group","Spain","Madrid","","7.6","9.5","","4","5","40.9784176286","151.8514285714"
"Servcorp","Australia","Sydney","","1.9","102.036682","","1","55","1.8552124","7.5818181818"
"WeWork (We Holdings)","United States","NYC (NY)","3.8","20.9","678.803","2","11","345","1.9775948276","8.1810344828"
